Block_Group,Population
40130927212,1380
40130927231,2441
40130927232,1673
40130927241,1237
40130927242,1294
40130927243,941
40130928011,1412
40130928012,980
40130928013,1162
40130928014,1202
40130928021,1853
40130928022,882
40130928023,574
40130928024,1908
40130929001,1669
40130929002,1197
40130930011,2256
40130930012,1447
40130930013,1138
40130930021,773
40130930022,1934
40130930023,1375
40130931011,896
40130931012,1189
40130931013,1101
40130931014,1361
40130931041,1811
40130931042,1016
40130931043,667
40130931044,891
40130931051,1046
40130931052,1102
40130931053,1791
40130931054,1303
40130931061,1599
40130931062,1133
40130931063,1336
40130932001,1014
40130932002,81
40130932003,2260
40131032051,1431
40131032052,1221
40131032061,1180
40131032062,1341
40131032071,1145
40131032072,1314
40131032081,1407
40131032082,1555
40131032083,965
40131032091,772
40131032092,786
40131032093,2140
40131032094,1655
40131032101,898
40131032102,1473
40131032103,1408
40131032104,1046
40131032105,479
40131032106,740
40131032111,1140
40131032112,1907
40131032113,1348
40131032121,1580
40131032122,1412
40131032123,1253
40131032141,1050
40131032142,1677
40131032143,1125
40131032151,1488
40131032152,1291
40131032161,1150
40131032162,1427
40131032163,1436
40131032164,1179
40131032171,1288
40131032172,1746
40131032173,1638
40131032174,1623
40131032191,1004
40131032192,994
40131032193,1014
40131032201,1347
40131032202,684
40131032203,963
40131033021,1758
40131033022,2155
40131033023,1692
40131033024,641
40131033031,1572
40131033032,1110
40131033033,793
40131033041,1901
40131033042,1355
40131033043,1418
40131033051,1276
40131033052,1816
40131033061,1478
40131033062,2141
40131034001,1701
40131034002,1483
40131034003,1472
40131035011,1088
40131035012,960
40131035013,1059
40131035021,1491
40131035022,1068
40131035023,1153
40131035024,992
40131035025,1210
40131036041,1825
40131036042,1079
40131036043,1194
40131036051,1711
40131036052,1934
40131036053,1040
40131036054,1282
40131036061,875
40131036062,1169
40131036063,2045
40131036071,1230
40131036072,1303
40131036073,935
40131036074,1028
40131036081,2243
40131036082,1344
40131036091,960
40131036092,1032
40131036093,1623
40131036094,1665
40131036111,1646
40131036112,1394
40131036113,2081
40131036121,1054
40131036122,1130
40131036123,1575
40131036124,1003
40131036141,1992
40131036142,1006
40131036151,836
40131036152,2040
40131036153,1872
40131037011,1176
40131037012,2280
40131037013,1244
40131037021,791
40131037022,1164
40131037023,1101
40131039001,1329
40131039002,1488
40131039003,1359
40131039004,1651
40131040001,1633
40131040002,1005
40131040003,1850
40131040004,2237
40131041001,1635
40131041002,1719
40131041003,1392
40131041004,1821
40131042021,1376
40131042022,2205
40131042023,1550
40131042031,1155
40131042032,1185
40131042033,914
