FIPS,land_area
320030029802,647172
320030029803,326952
320030029811,509486
320030029812,456802
320030029821,634548
320030029822,642525
320030029823,721086
320030029831,2652956
320030029841,3743189
320030029851,5016341
320030029951,168218
320030029952,165545
320030029953,1236811
320030029961,63829
320030029962,163793
320030029963,165862
320030029964,100941
320030030011,421475
320030030012,369778
320030030013,316138
320030030014,252887
320030030031,513363
320030030032,431556
320030030033,710272
320030030041,239957
320030030042,417417
320030030051,350641
320030030052,324668
320030030053,339057
320030030054,306521
320030030061,393693
320030030062,441552
320030030063,545788
320030031021,324879
320030031022,313734
320030031023,359505
320030031024,415521
320030031031,340804
320030031032,417261
320030031041,448700
320030031042,345178
320030032041,826135
320030032042,968189
320030032043,414868
320030032044,1174789
320030032045,1396244
320030032081,1705840
320030032082,1022396
320030032101,505758
320030032102,623829
320030032103,446712
320030032104,448893
320030032111,1567515
320030032112,996464
320030032131,792160
320030032132,991679
320030032141,837926
320030032142,705087
320030032151,335987
320030032152,296656
320030032153,419050
320030032154,340801
320030032181,525824
320030032182,548805
320030032183,447787
320030032184,2453562
320030032191,1025972
320030032192,454770
320030032193,413894
320030032194,404503
320030032201,210606
320030032202,274141
320030032203,794339
320030032204,380831
320030032205,212763
320030032206,1119358
320030032221,410866
320030032222,610875
320030032223,1229090
320030032231,1457191
320030032232,2973969
320030032261,1753629
320030032262,740590
320030032271,1357399
320030032272,760147
320030032281,492081
320030032282,274987
320030032283,623646
320030032291,7750535
320030032292,473263
320030032301,980219
320030032302,547344
320030032303,317993
320030032304,447274
320030032305,499149
320030032311,3772188
320030032312,509943
320030032313,1014655
320030032314,529449
320030032315,964576
320030032321,5486046
320030032322,2276469
320030032323,3018924
320030032324,2684220
320030032331,1082707
320030032332,1482472
320030032333,494313
320030032341,326589
320030032342,318430
320030032343,326976
320030032351,1635207
320030032352,517012
320030032361,2520499
320030032362,1009429
320030032371,2152377
320030032381,1919078
320030032382,355141
320030032383,441402
320030032391,312368
320030032392,671785
320030032393,106603
320030032401,2152088
320030032402,852844
320030032403,412812
320030032411,719145
320030032412,323212
320030032413,343627
320030032421,1324190
320030032422,1332881
320030032431,697104
320030032432,382236
320030032433,315925
320030032441,520895
320030032442,868256
320030032451,236283
320030032452,453475
320030032453,684946
320030032461,335512
320030032462,389921
320030032463,648950
320030032471,338568
320030032472,620984
320030032473,487733
320030032481,250803
320030032482,202841
320030032483,740566
320030032491,813836
320030032492,657384
320030032501,515626
320030032502,1475445
320030032511,763135
320030032512,477711
320030032521,761044
320030032522,481569
320030032523,520552
320030032531,1165033
320030032532,351556
320030032533,335184
320030032541,738705
320030032542,507703
320030032601,507382
320030032602,244673
320030032603,239593
320030032611,329289
320030032612,872960
320030032621,1561604
320030032622,709839
320030033031,1294041
320030033032,598878
320030033033,595778
320030033051,659744
320030033052,754296
320030033053,622009
320030033054,585408
320030033055,614750
320030033061,530644
320030033062,720117
320030033063,738787
320030033064,663557
320030033071,1357419
320030033072,1362486
320030033081,2383906
320030033091,638489
320030033092,1296493
320030033093,1295470
320030033101,3160864
320030033102,1316731
320030033103,2601762
320030033111,616148
320030033112,629665
320030033121,1568026
320030033122,943157
320030033131,622402
320030033132,621336
320030033141,2894783
320030033142,9397326
320030033143,1359511
320030033144,1785314
320030033151,506362
320030033152,500148
320030033161,3801851
320030033162,1990446
320030033163,1176892
320030033171,453736
320030033172,446605
320030033181,2256699
320030033191,1001113
320030033192,419983
320030033193,286217
320030033201,1721386
320030033202,2494854
320030033211,1268511
320030033212,1308621
320030034081,1012829
320030034082,675447
320030034083,326942
320030034091,763843
320030034092,526861
320030034093,436411
320030034101,842144
320030034102,1316142
320030034111,1022618
320030034112,1020866
320030034121,330051
320030034122,619904
320030034123,942175
320030034131,426517
320030034132,1239213
320030034133,953668
320030034141,1819775
320030034142,1350486
320030034151,2514643
320030034152,188173
320030034153,246782
320030034154,408974
320030034155,627566
320030034161,353971
320030034162,439924
320030034163,416011
320030034181,674593
320030034182,342078
320030034183,169052
320030034191,499200
320030034192,339163
320030034193,192741
320030034194,276057
320030034195,206257
320030034201,132348
320030034202,339067
320030034203,836553
320030034211,459757
320030034212,231025
320030034213,465459
320030034221,429180
320030034222,404225
320030034223,196851
320030034224,260987
320030034225,206262
320030034231,219586
320030034232,269092
320030034233,823314
320030034234,303388
320030034235,360039
320030034261,572221
320030034262,675781
320030034271,515749
320030034272,695162
320030034281,673888
320030034291,336731
320030034292,270421
320030034293,171525
320030034294,736866
320030034301,283348
320030034302,359204
320030034311,314939
320030034312,212470
320030034313,214154
320030035001,368535
